IDpol,ClaimNb,Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region,ClaimAmount
1,1.0,0.1,D,5.0,0.0,55.0,50.0,B12,Regular,1217.0,R82,0.0
3,1.0,0.77,D,5.0,0.0,55.0,50.0,B12,Regular,1217.0,R82,0.0
5,1.0,0.75,B,6.0,2.0,52.0,50.0,B12,Diesel,54.0,R22,0.0
10,1.0,0.09,B,7.0,0.0,46.0,50.0,B12,Diesel,76.0,R72,0.0
11,1.0,0.84,B,7.0,0.0,46.0,50.0,B12,Diesel,76.0,R72,0.0
13,1.0,0.52,E,6.0,2.0,38.0,50.0,B12,Regular,3003.0,R31,0.0
15,1.0,0.45,E,6.0,2.0,38.0,50.0,B12,Regular,3003.0,R31,0.0
17,1.0,0.27,C,7.0,0.0,33.0,68.0,B12,Diesel,137.0,R91,0.0
18,1.0,0.71,C,7.0,0.0,33.0,68.0,B12,Diesel,137.0,R91,0.0
21,1.0,0.15,B,7.0,0.0,41.0,50.0,B12,Diesel,60.0,R52,0.0
25,1.0,0.75,B,7.0,0.0,41.0,50.0,B12,Diesel,60.0,R52,0.0
27,1.0,0.87,C,7.0,0.0,56.0,50.0,B12,Diesel,173.0,R93,0.0
30,1.0,0.81,D,4.0,1.0,27.0,90.0,B12,Regular,695.0,R72,0.0
32,1.0,0.05,D,4.0,0.0,27.0,90.0,B12,Regular,695.0,R72,0.0
35,1.0,0.76,E,4.0,9.0,23.0,100.0,B6,Regular,7887.0,R31,0.0
36,1.0,0.34,F,9.0,0.0,44.0,76.0,B12,Regular,27000.0,R11,0.0
38,1.0,0.1,A,6.0,2.0,32.0,56.0,B12,Diesel,23.0,R24,0.0
42,1.0,0.77,A,6.0,2.0,32.0,56.0,B12,Diesel,23.0,R24,0.0
44,1.0,0.74,A,6.0,2.0,55.0,50.0,B12,Regular,37.0,R94,0.0
45,1.0,0.1,A,6.0,2.0,55.0,50.0,B12,Regular,37.0,R94,0.0
47,1.0,0.03,A,6.0,2.0,55.0,50.0,B12,Regular,37.0,R94,0.0
49,2.0,0.81,E,7.0,0.0,73.0,50.0,B12,Regular,3317.0,R93,0.0
50,1.0,0.06,E,7.0,0.0,73.0,50.0,B12,Regular,3317.0,R93,0.0
52,1.0,0.1,B,6.0,8.0,27.0,76.0,B3,Diesel,85.0,R93,0.0
53,1.0,0.55,D,5.0,0.0,33.0,100.0,B12,Regular,1746.0,R11,0.0
54,1.0,0.19,D,5.0,0.0,33.0,100.0,B12,Regular,1746.0,R11,0.0
55,1.0,0.01,D,5.0,0.0,33.0,100.0,B12,Regular,1746.0,R11,0.0
58,1.0,0.03,C,5.0,0.0,59.0,50.0,B12,Regular,455.0,R91,0.0
59,1.0,0.79,C,5.0,0.0,59.0,50.0,B12,Regular,455.0,R91,0.0
60,2.0,0.04,C,5.0,0.0,59.0,50.0,B12,Regular,455.0,R91,0.0
62,1.0,0.87,D,5.0,0.0,54.0,50.0,B12,Regular,781.0,R31,0.0
65,1.0,0.87,D,15.0,0.0,44.0,71.0,B12,Diesel,1110.0,R94,0.0
67,1.0,0.8,D,5.0,0.0,69.0,52.0,B12,Regular,1376.0,R11,0.0
68,1.0,0.07,D,5.0,0.0,69.0,52.0,B12,Regular,1376.0,R11,0.0
72,1.0,0.39,D,4.0,0.0,23.0,85.0,B12,Regular,533.0,R93,0.0
73,1.0,0.47,D,4.0,0.0,23.0,85.0,B12,Regular,533.0,R93,0.0
77,1.0,0.69,A,6.0,0.0,60.0,51.0,B12,Diesel,12.0,R83,0.0
78,1.0,0.16,A,6.0,0.0,60.0,51.0,B12,Diesel,12.0,R83,0.0
80,1.0,0.12,E,9.0,0.0,43.0,50.0,B12,Regular,7752.0,R11,0.0
82,1.0,0.76,E,9.0,0.0,43.0,50.0,B12,Regular,7752.0,R11,0.0
84,1.0,0.81,E,8.0,0.0,50.0,54.0,B12,Regular,3545.0,R11,0.0
86,1.0,0.05,E,8.0,0.0,50.0,54.0,B12,Regular,3545.0,R11,0.0
88,1.0,0.16,E,10.0,8.0,30.0,80.0,B12,Regular,3661.0,R11,0.0
90,1.0,0.71,E,10.0,8.0,30.0,80.0,B12,Regular,3661.0,R11,0.0
92,1.0,0.41,B,4.0,0.0,30.0,80.0,B12,Regular,77.0,R93,0.0
94,1.0,0.46,B,4.0,0.0,30.0,80.0,B12,Regular,77.0,R93,0.0
96,1.0,0.07,C,5.0,0.0,52.0,50.0,B12,Regular,162.0,R93,0.0
97,1.0,0.82,C,5.0,0.0,52.0,50.0,B12,Regular,162.0,R93,0.0
100,1.0,0.87,C,5.0,0.0,73.0,50.0,B12,Regular,174.0,R31,0.0
102,2.0,0.75,C,5.0,0.0,33.0,66.0,B12,Regular,151.0,R82,0.0
104,1.0,0.11,C,5.0,0.0,33.0,66.0,B12,Regular,151.0,R82,0.0
107,1.0,0.08,C,9.0,0.0,45.0,50.0,B12,Regular,120.0,R83,0.0
108,1.0,0.02,C,9.0,0.0,45.0,50.0,B12,Regular,120.0,R83,0.0
109,1.0,0.77,C,9.0,0.0,45.0,50.0,B12,Regular,120.0,R83,0.0
112,1.0,0.1,E,9.0,4.0,40.0,72.0,B12,Regular,3366.0,R11,0.0
113,1.0,0.84,E,9.0,4.0,40.0,72.0,B12,Regular,3366.0,R11,0.0
115,1.0,0.72,D,5.0,0.0,45.0,50.0,B12,Regular,965.0,R54,0.0
117,1.0,0.14,D,5.0,0.0,45.0,50.0,B12,Regular,965.0,R54,0.0
120,1.0,0.79,C,6.0,0.0,37.0,55.0,B12,Diesel,303.0,R11,0.0
121,1.0,0.05,C,6.0,0.0,37.0,55.0,B12,Diesel,303.0,R11,0.0
122,1.0,0.07,C,6.0,0.0,37.0,55.0,B12,Diesel,303.0,R11,0.0
124,1.0,0.5,B,5.0,1.0,28.0,68.0,B3,Diesel,85.0,R26,0.0
127,1.0,0.02,B,7.0,1.0,28.0,72.0,B12,Regular,85.0,R26,0.0
129,1.0,0.34,B,7.0,1.0,28.0,68.0,B12,Regular,85.0,R26,0.0
133,1.0,0.87,B,4.0,0.0,67.0,50.0,B12,Regular,87.0,R22,0.0
137,1.0,0.92,E,4.0,0.0,62.0,50.0,B12,Regular,8549.0,R82,0.0
139,1.0,0.75,F,7.0,1.0,61.0,50.0,B12,Regular,27000.0,R11,303.0
142,1.0,0.9,C,10.0,10.0,42.0,50.0,B12,Diesel,116.0,R93,0.0
145,1.0,0.81,A,6.0,0.0,62.0,90.0,B12,Regular,49.0,R53,0.0
147,1.0,0.05,A,6.0,0.0,62.0,90.0,B12,Regular,49.0,R53,0.0
148,1.0,0.12,C,5.0,0.0,55.0,50.0,B12,Regular,480.0,R22,0.0
