term,estimate,std.error,statistic,p.value,data,time_secs,estimator,n,n_clus,seed
(Intercept),-0.7174868866993794,0.4690194953557083,2.34016320150202,0.12607634475448926,raw data,0.01389002799987793,GEE,100,5,1
x,-0.07379155537976297,0.17528979640472234,0.17721482728434582,0.6737777809409127,raw data,0.01389002799987793,GEE,100,5,1
(Intercept),-0.534579597361012,0.40932773831066055,1.705620500925508,0.19155457547885835,aggregated data,0.00420093536376953,GEE,100,5,1
x,-0.11373215584125296,0.1531024633550259,0.5518260345624567,0.4575725358740306,aggregated data,0.00420093536376953,GEE,100,5,1
x,-0.05916555046431573,0.48648921000088785,-0.12161739509948792,0.903202036458128,raw data,NA,GLM,100,5,1
x,-0.05916555046100057,0.4864888891724403,-0.12161747529660193,0.9032019729415606,aggregated data,NA,GLM,100,5,1
(Intercept),-1.7132812252623864,0.641674989419788,7.128974927149748,0.00758480773295067,raw data,0.00928282737731933,GEE,100,5,2
x,0.7290959312514126,0.3362732504880819,4.700939971518806,0.03014612590317689,raw data,0.00928282737731933,GEE,100,5,2
(Intercept),5316105574605720,6592921912557464,0.6501765931228936,0.4200495499851187,aggregated data,0.00582003593444824,GEE,100,5,2
x,6309845434986412,467920538339423.9,181.84159241135364,0,aggregated data,0.00582003593444824,GEE,100,5,2
x,1.0898219548504051,0.6333904839786489,1.7206162429291283,0.08532048401791985,raw data,NA,GLM,100,5,2
x,1.0898219548400556,0.6333896586573468,1.7206184849153514,0.0853200769158054,aggregated data,NA,GLM,100,5,2
(Intercept),-1.58644549960448,0.4093788512427003,15.017564575504046,1.0651517307569414e-4,raw data,0.0127110481262207,GEE,100,5,3
x,-0.14356518302410504,0.3825979568836816,0.1408033426003298,0.7074836836252112,raw data,0.0127110481262207,GEE,100,5,3
(Intercept),-1.7265168761696212,0.3954642659016148,19.060187209498803,1.2665982109694164e-5,aggregated data,0.00539898872375488,GEE,100,5,3
x,-0.10660394425339571,0.4024794332193342,0.07015508603181028,0.7911111088473379,aggregated data,0.00539898872375488,GEE,100,5,3
